Country Name;Country Code;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;552563707135,00;548945698735,39;562537088659,90;583471998103,51;601470923945,21;558300141593,95;648895630480,26;720184226953,65;776689344138,30;821720979879,89
Sweden;SWE;478054809710,97;499029649583,47;517711152885,82;540532181742,57;586373975348,37;595211778250,69;653401537327,89;696077173608,22;708681710101,32;750771294152,11
Ireland;IRL;336695182891,50;347739763486,59;388369654017,79;422696075807,80;457946413933,01;492886866396,89;597445848156,99;709490152389,07;662924221900,41;705755786877,78
Chile;CHL;405311397644,14;424831691025,60;450891850914,83;478093905184,17;491687970151,70;491062045094,55;565981846554,52;602631465819,44;644836890413,86;684594682203,97
Iraq;IRQ;350607538727,12;349270949154,25;400912993904,79;484572670623,27;504546085405,45;445338053116,05;548372044650,92;634224994897,80;660448460341,75;665966378219,47
Austria;AUT;428354580959,91;457782737463,17;473923403470,15;500696126093,05;535946931732,61;521841933098,15;563937063927,26;639574811164,39;643595441773,68;657343622086,77
Ukraine;UKR;431227247239,32;469908642632,23;496521669473,45;537198415902,32;604396090412,30;656105592902,92;746470597165,44;569710531654,79;622877549405,73;656527758167,99
Czechia;CZE;359643570544,50;385090482980,63;416849081359,13;442610888485,24;486786860810,41;479686413475,52;502134232985,64;551853486423,14;578154104196,06;618168364251,94
Peru;PER;353319959252,52;372451971818,88;394435327375,37;417164014966,50;440127331383,88;412561044537,26;506640152835,22;558007303167,35;575755500916,11;609160441707,41
Small states;SST;309379284069,46;321696777105,34;343769604168,12;362743680540,57;391517102269,87;370601494408,47;416569170741,93;480602815185,76;517630630788,51;571199477831,85
Hong Kong SAR, China;HKG;408626637207,14;416436291872,85;438127783294,24;453865391644,54;459644295764,89;435300511002,66;488411631115,75;503958247509,74;538875248007,03;565930796570,72
Norway;NOR;315229572404,50;310303329051,28;340837019722,40;373182530590,83;379377632591,48;361019819522,16;481254696871,48;672046133630,96;554373266075,45;562975486235,51
Israel;ISR;300585585980,46;326364570143,79;343921515244,16;356999652016,67;374158164922,83;377407052497,65;432603337813,42;511940108074,61;525948204389,14;555481708109,95
Portugal;PRT;306764323945,35;326173486566,70;339609538500,02;358872472764,77;389495112468,61;370352154969,93;400564219793,07;464925463530,28;501685643184,29;541680354802,56
Denmark;DNK;277981042931,12;296830932013,31;318639654733,58;331590779599,81;352324705726,53;365525756328,66;408303200976,80;456897040142,03;438513061150,91;475256247950,47
Greece;GRC;287996160333,19;296388230996,64;308462278341,89;319754656488,28;342312014300,19;315962662965,28;354397719330,58;406715086017,97;428522833617,81;457879263225,25
Hungary;HUN;264000114278,86;275019599716,58;289157120615,01;313129747062,98;345399739504,72;344108181960,69;374519891736,62;422741088429,77;435174441789,90;455509390728,31
Ethiopia;ETH;169575372912,62;198234264745,13;219853609796,20;236067178129,63;259534702292,27;286209788226,36;316145121458,38;356708609996,74;393913047366,85;432956582272,74
Uzbekistan;UZB;209082432928,01;216467147312,95;248762687744,27;263156175277,91;281653051331,45;283862781607,33;316673503929,41;359610275444,80;395989161090,91;431926264607,89
Morocco;MAR;273699865546,22;278969225512,90;291813531443,92;283691175471,35;295693593669,82;286108585852,48;323485096796,56;351840396847,18;376906204043,99;398513761721,12
Kenya;KEN;173206956148,63;188546457052,59;205511364865,14;221491717233,00;240006995767,66;250255393335,36;284129273925,39;319179328511,24;349035957917,85;373549891750,11
Finland;FIN;231615508030,82;244883896491,64;260179677811,91;271632312186,53;288648091314,83;294705726881,03;314676442275,46;340851311803,99;344041186768,17;361295951878,51
Qatar;QAT;240424800591,96;222778394716,76;252948449980,88;283965164161,23;283662144439,19;229537462611,12;292655073655,39;326640697729,82;342411792316,80;360400243355,57
Sri Lanka;LKA;256403786039,43;277383189833,41;291985462544,99;307237748359,21;307704703449,53;283651681999,95;317188291991,22;314829453164,92;318559256926,75;342603896900,93
Myanmar;MMR;227790290910,88;229647106575,79;244240022243,58;291745887545,29;321180596449,63;304367346941,67;276462287916,21;308130563643,83;322277844296,53;326862397165,76
Angola;AGO;200475818990,04;199721223732,14;211424030475,15;229965233516,95;243736138717,60;215784887951,05;255820605533,99;282403642417,85;295719779328,45;316269278905,42
Belarus;BLR;171562717858,93;168862491607,69;174175435650,67;189020934305,57;210075611346,39;233301042735,65;256855349956,29;262349397260,19;283005268450,19;301471103995,53
New Zealand;NZL;173212160480,61;188511791745,78;203343352255,38;208409180577,66;225047523389,30;230861725700,25;245325429880,08;274518817915,02;282465277069,75;294116842342,87
Tanzania;TZA;116992999511,59;127160946763,03;133500817705,84;151987436389,56;171137212069,96;194561908147,28;212790081675,95;238369618090,94;259466130648,38;280425918025,03
Ghana;GHA;148971921853,89;147108962613,39;155172026665,00;169624926668,07;187633394275,74;192835182975,95;214867175690,96;238944324844,80;255315535798,76;276354650562,23
Bulgaria;BGR;132010035906,56;143021674686,20;151832826641,71;161416529330,85;177424012151,29;179335119678,68;201543561665,62;231539013106,01;241758558129,68;264773991018,96
Guatemala;GTM;142691589570,06;149695818679,90;158386820298,22;167560724569,43;183966419962,47;190017068738,28;208106516253,14;232272538658,50;249132470255,79;264474716594,80
Kuwait;KWT;173580844573,04;167620163110,37;193471105512,37;222102130573,67;225238748759,91;182442653725,59;220886348976,42;252627730077,86;257354882134,39;256830086700,12
Azerbaijan;AZE;145466446321,07;141837623390,76;141069643128,85;151909515454,01;167158106107,00;153047750160,24;203884098954,12;228717780540,74;240157347500,69;255978795310,91
Slovak Republic;SVK;163560289937,06;162206967889,12;164513828512,12;171626766869,26;185362871936,43;192849134106,20;208880643198,04;223223380690,81;238504448129,55;255817817489,38
Cote d'Ivoire;CIV;111175876370,33;117748858729,37;125384273717,75;135827506244,13;155523648459,42;160302939789,70;179178274483,43;204237508213,33;225235088913,67;244407043373,23
Oman;OMN;150899641148,99;146364894955,71;152544979822,97;173709314188,19;171026532860,21;159026046195,66;174253981507,44;201584895347,81;211317905980,11;220050947267,55
Serbia;SRB;110336653309,67;116145024614,71;121357054729,47;128959381818,70;142981510856,39;144970128544,86;159957380264,66;174877126875,26;190375744361,82;209915940223,32
Croatia;HRV;98640632987,79;105974174461,38;112711335186,21;118820296677,40;130581473283,13;123671816269,51;143252591939,27;161768265159,85;175984781670,00;187806348373,77
Panama;PAN;107892257844,09;121987463715,67;137443278042,00;135303491321,19;140760298314,01;115991046900,55;134415382039,56;159506658380,05;177473406612,85;186966392940,24
Congo, Dem. Rep.;COD;69621148328,85;76732432237,32;87367059544,43;96286291906,37;108499465225,81;109045443618,14;130243843399,28;151981795496,98;171005766912,84;186833135551,67
Tunisia;TUN;122945411435,23;126742366551,33;131519908969,82;139320230402,97;148376650136,52;142707604074,23;149936984870,62;164920776695,98;170922172724,96;177419626655,92
Caribbean small states;CSS;88626556608,00;86398108448,73;90529434160,88;93380648999,06;98306002294,51;89872844012,28;104573449542,97;129644883755,77;147978035571,74;174613524421,52
Nepal;NPL;82282973616,27;83198953169,46;100972413071,51;111086748720,57;121063056101,57;122690085757,45;134000165871,65;151637641435,80;160208624971,65;170096869228,54
Uganda;UGA;82192547854,59;84011710476,55;86701094761,93;96102592476,74;104978215231,62;112575267254,24;123267190675,87;138114236789,42;150720488734,49;163837595822,05
Cameroon;CMR;79618697991,10;85068226004,87;90902832851,28;99492538001,31;108174199180,86;114420802871,50;129022200845,74;143385827220,98;153370677810,36;162845309666,95
Lithuania;LTU;83997132844,86;88542980893,58;95488665471,02;102878073082,26;114028537683,96;115963490767,14;128830296666,03;142993189030,38;146206359207,24;157150520997,22
Costa Rica;CRI;84436792703,78;93454856085,34;100716906502,79;106583345257,91;116687612853,57;111257806526,91;120695515793,09;131743438291,44;143338340238,73;154219710536,78
Turkmenistan;TKM;79032357701,45;82167730668,85;86403378533,53;95629644637,51;105309565740,43;104880701502,71;116551626881,62;132602544199,71;146028887635,91;152946223418,89
Cambodia;KHM;69267932041,22;75271078913,03;81171550322,39;91413678746,19;101425852442,98;99390356590,64;105674090069,14;119015567874,09;129472162766,31;140580072943,66
Bolivia;BOL;78777661969,41;84385715066,61;96545462750,11;103029675562,86;107078496355,74;98004280065,35;112858166789,69;125263793321,54;133770780373,29;138902580580,69
Paraguay;PRY;78091620933,42;83295458687,92;88597623578,68;90877352659,24;92185455052,43;94492100805,03;102977624582,58;110513599071,11;120213942441,32;128353419878,21
Jordan;JOR;85588348124,05;87534483836,19;94825378274,47;94604332953,10;100626037104,86;104080200892,95;101616771489,09;111743557894,99;119103273959,64;125019343386,99
Uruguay;URY;74664260125,48;77184684714,74;79989594692,07;82780785900,31;87589105834,49;87439329471,12;99971136649,79;111903244231,61;116790310507,26;123332335624,22
Slovenia;SVN;64680613571,98;69334151784,94;74761997302,46;80094210481,81;88491661031,40;87812276776,07;96790459870,84;107883106099,67;114403545993,99;120202434629,03
Sudan;SDN;168783439920,87;184446367323,92;181639236414,64;185735342775,64;178285831253,72;156677404687,45;156168260027,79;165699797555,15;121136486067,81;107325139957,43
Bahrain;BHR;65822385264,13;67525760773,33;75332756767,74;78150406940,04;83979879528,45;78668739612,82;82671890844,15;94039487080,40;101201588299,58;106776082045,15
Georgia;GEO;45707843451,65;48700949298,43;51144255243,84;55979867879,61;62387596154,46;62509091761,26;70150781357,73;83387742354,07;93154469864,03;104402557696,26
Libya;LBY;116940831227,11;112487606548,72;121473194597,02;129305467689,06;112565780546,27;77180930238,71;90199384483,20;88656571302,45;101174573849,54;102993304184,47
Luxembourg;LUX;61453765784,17;65980119592,34;68570197215,64;70910323890,93;75250600111,64;76953191626,44;87543117438,51;93643147424,94;94916112738,78;102180990717,51
Senegal;SEN;43696523920,87;46623906157,94;50051751949,26;53794440219,25;59654664271,82;63008586953,60;71874343647,33;79963390334,37;86367675226,14;94552533446,06
Zambia;ZMB;54731517891,62;56043424009,92;59154463773,68;61869932575,77;62232372185,47;60176229608,24;68672119764,94;77401882826,59;84491503485,39;90033312819,58
Macao SAR, China;MAC;70022650971,92;70409197227,45;78445696792,69;85476958220,82;84779825204,49;39219148014,21;50626336573,19;43600459870,74;79074346817,43;88119857289,24
El Salvador;SLV;49059658944,82;52431584608,90;55705683541,02;57245624328,43;60709614751,35;58560345367,20;67623210509,86;74584847418,37;80003362561,65;84069963659,78
Latvia;LVA;47733302374,58;50560278535,67;53695043701,69;57464098005,64;61623338377,08;62223400359,40;69560319491,85;75101731516,17;78495987718,93;81699623488,01
Honduras;HND;44760245066,23;48814099005,31;53891605878,83;55011170333,96;57523228910,71;54491208505,29;63827909343,12;71211813748,76;76412349804,37;81041415057,12
Mali;MLI;43326258239,04;48588600863,90;51646498097,61;54874814697,01;59410075204,04;59141995694,54;62603712698,52;69419933564,91;75310419236,78;80991580402,85
Bosnia and Herzegovina;BIH;41689899626,65;44798625490,36;46722359237,75;50324993987,09;54961732518,32;54009573841,64;59335302230,92;67671426889,46;71692427234,40;69521962129,19
Armenia;ARM;29315404012,98;31629425029,46;35949453239,37;38233278956,68;44365671088,18;43552758696,81;47164867556,76;56893939956,67;63833326718,21;69234115090,81
Burkina Faso;BFA;31763609326,84;36383537964,25;40632395597,01;42375183591,23;46790489892,50;51134807594,63;54689652540,57;59465954759,40;63429415199,27;68201683192,87
Estonia;EST;39094673598,34;42036565381,39;45458506883,43;49073092321,77;53853984376,48;54074496993,41;58895787305,75;64477259538,15;64116051940,55;67685292223,14
Guinea;GIN;22706690384,72;27228620630,03;33281442968,48;36138275786,62;40482435336,72;44550864730,00;51260936277,82;57097045519,86;62429641817,09;67563663630,92
Mongolia;MNG;31655860016,54;32468148776,24;34940501306,66;39516811632,46;44456622358,24;45560002626,38;50053145881,86;56320298556,33;62677497750,94;67315454531,64
Guyana;GUY;8656533235,34;8793308785,64;9408659458,01;9848942431,25;10694269146,49;13581364399,68;18646751960,82;32628001896,99;45225503511,81;66408625273,33
Zimbabwe;ZWE;38109087385,87;40834213264,93;104359364850,16;39306151205,71;49040227035,15;54509873679,96;50310711158,79;57206472522,11;62427821459,54;65234986601,47
Benin;BEN;30961687093,89;33245555033,16;34745526935,48;36720416644,31;40076293090,69;42407309934,64;46467947984,77;52893642973,70;58278092338,37;64135878351,04
